filepath,student,facial_expression
images/KA.AN1.39.jpeg,KA,angry
images/KA.AN2.40.jpeg,KA,angry
images/KA.AN3.41.jpeg,KA,angry
images/KA.DI1.42.jpeg,KA,disgust
images/KA.DI2.43.jpeg,KA,disgust
images/KA.DI3.44.jpeg,KA,disgust
images/KA.FE1.45.jpeg,KA,fear
images/KA.FE2.46.jpeg,KA,fear
images/KA.FE3.47.jpeg,KA,fear
images/KA.FE4.48.jpeg,KA,fear
images/KA.HA1.29.jpeg,KA,happy
images/KA.HA2.30.jpeg,KA,happy
images/KA.HA3.31.jpeg,KA,happy
images/KA.HA4.32.jpeg,KA,happy
images/KA.NE1.26.jpeg,KA,neutral
images/KA.NE2.27.jpeg,KA,neutral
images/KA.NE3.28.jpeg,KA,neutral
images/KA.SA1.33.jpeg,KA,sad
images/KA.SA2.34.jpeg,KA,sad
images/KA.SA3.35.jpeg,KA,sad
images/KA.SU1.36.jpeg,KA,surprise
images/KA.SU2.37.jpeg,KA,surprise
images/KA.SU3.38.jpeg,KA,surprise
images/KL.AN1.167.jpeg,KL,angry
images/KL.AN2.168.jpeg,KL,angry
images/KL.AN3.169.jpeg,KL,angry
images/KL.DI1.170.jpeg,KL,disgust
images/KL.DI2.171.jpeg,KL,disgust
images/KL.DI3.172.jpeg,KL,disgust
images/KL.DI4.173.jpeg,KL,disgust
images/KL.FE1.174.jpeg,KL,fear
images/KL.FE2.175.jpeg,KL,fear
images/KL.FE3.176.jpeg,KL,fear
images/KL.HA1.158.jpeg,KL,happy
images/KL.HA2.159.jpeg,KL,happy
images/KL.HA3.160.jpeg,KL,happy
images/KL.NE1.155.jpeg,KL,neutral
images/KL.NE2.156.jpeg,KL,neutral
images/KL.NE3.157.jpeg,KL,neutral
images/KL.SA1.161.jpeg,KL,sad
images/KL.SA2.162.jpeg,KL,sad
images/KL.SA3.163.jpeg,KL,sad
images/KL.SU1.164.jpeg,KL,surprise
images/KL.SU2.165.jpeg,KL,surprise
images/KL.SU3.166.jpeg,KL,surprise
images/KM.AN1.17.jpeg,KM,angry
images/KM.AN2.18.jpeg,KM,angry
images/KM.AN3.19.jpeg,KM,angry
images/KM.DI1.20.jpeg,KM,disgust
images/KM.DI3.22.jpeg,KM,disgust
images/KM.FE1.23.jpeg,KM,fear
images/KM.FE2.24.jpeg,KM,fear
images/KM.FE3.25.jpeg,KM,fear
images/KM.HA1.4.jpeg,KM,happy
images/KM.HA2.5.jpeg,KM,happy
images/KM.HA3.6.jpeg,KM,happy
